Date,CPI_All_Items,CPI_Core,CPI_Rent,CPI_Food,CPI_Energy,Interest_Rate_Federal_Funds,Interest_Rate_10Y_Treasury,Real_Disposable_Income,Real_Wages_All,Real_Wages_Private,Credit_Card_Delinquency,Unemployment_Rate,Employment_Total_Nonfarm,Labor_Force_Participation,Initial_Claims,PCE_Inflation,Core_PCE_Inflation,GDP_Real,Consumer_Sentiment,Housing_Starts,S&P_500,Wage_Growth
2017-08-16,,,,,,,,,,,,,,,,,,,,,2468.11,
2017-08-17,,,,,,,,,,,,,,,,,,,,,2430.01,
2017-08-18,,,,,,,,,,,,,,,,,,,,,2425.55,
2017-08-19,,,,,,,,,,,,,,,247250.0,,,,,,,
2017-08-21,,,,,,,,,,,,,,,,,,,,,2428.37,
2017-08-22,,,,,,,,,,,,,,,,,,,,,2452.51,
2017-08-23,,,,,,,,,,,,,,,,,,,,,2444.04,
2017-08-24,,,,,,,,,,,,,,,,,,,,,2438.97,
2017-08-25,,,,,,,,,,,,,,,,,,,,,2443.05,
2017-08-26,,,,,,,,,,,,,,,247750.0,,,,,,,
2017-08-28,,,,,,,,,,,,,,,,,,,,,2444.24,
2017-08-29,,,,,,,,,,,,,,,,,,,,,2446.3,
2017-08-30,,,,,,,,,,,,,,,,,,,,,2457.59,
2017-08-31,,,,,,,,,,,,,,,,,,,,,2471.65,
2017-09-01,246.435,252.812,299.711,,134.9,1.15,2.2,14706.0,1113.0,26.49,,4.3,147008.0,63.1,,100.4,100.24,,95.1,1181.0,2476.55,22.18
2017-09-02,,,,,,,,,,,,,,,258500.0,,,,,,,
2017-09-04,,,,,,,,,,,,,,,,,,,,,,
2017-09-05,,,,,,,,,,,,,,,,,,,,,2457.85,
2017-09-06,,,,,,,,,,,,,,,,,,,,,2465.54,
2017-09-07,,,,,,,,,,,,,,,,,,,,,2465.1,
2017-09-08,,,,,,,,,,,,,,,,,,,,,2461.43,
2017-09-09,,,,,,,,,,,,,,,267250.0,,,,,,,
2017-09-11,,,,,,,,,,,,,,,,,,,,,2488.11,
2017-09-12,,,,,,,,,,,,,,,,,,,,,2496.48,
2017-09-13,,,,,,,,,,,,,,,,,,,,,2498.37,
2017-09-14,,,,,,,,,,,,,,,,,,,,,2495.62,
2017-09-15,,,,,,,,,,,,,,,,,,,,,2500.23,
2017-09-16,,,,,,,,,,,,,,,271250.0,,,,,,,
2017-09-18,,,,,,,,,,,,,,,,,,,,,2503.87,
2017-09-19,,,,,,,,,,,,,,,,,,,,,2506.65,
2017-09-20,,,,,,,,,,,,,,,,,,,,,2508.24,
2017-09-21,,,,,,,,,,,,,,,,,,,,,2500.6,
2017-09-22,,,,,,,,,,,,,,,,,,,,,2502.22,
2017-09-23,,,,,,,,,,,,,,,275500.0,,,,,,,
2017-09-25,,,,,,,,,,,,,,,,,,,,,2496.66,
2017-09-26,,,,,,,,,,,,,,,,,,,,,2496.84,
2017-09-27,,,,,,,,,,,,,,,,,,,,,2507.04,
2017-09-28,,,,,,,,,,,,,,,,,,,,,2510.06,
2017-09-29,,,,,,,,,,,,,,,,,,,,,2519.36,
2017-09-30,,,,,,,,,,,,,,,266250.0,,,,,,,
2017-10-01,246.626,253.526,300.814,3530.448,142.4,1.15,2.36,14748.6,1196.0,26.5,2.48,4.2,147149.0,62.7,,100.531,100.486,19882.352,100.7,1257.0,,22.18
2017-10-02,,,,,,,,,,,,,,,,,,,,,2529.12,
2017-10-03,,,,,,,,,,,,,,,,,,,,,2534.58,
2017-10-04,,,,,,,,,,,,,,,,,,,,,2537.74,
2017-10-05,,,,,,,,,,,,,,,,,,,,,2552.07,
2017-10-06,,,,,,,,,,,,,,,,,,,,,2549.33,
2017-10-07,,,,,,,,,,,,,,,259250.0,,,,,,,
2017-10-09,,,,,,,,,,,,,,,,,,,,,2544.73,
2017-10-10,,,,,,,,,,,,,,,,,,,,,2550.64,
2017-10-11,,,,,,,,,,,,,,,,,,,,,2555.24,
2017-10-12,,,,,,,,,,,,,,,,,,,,,2550.93,
2017-10-13,,,,,,,,,,,,,,,,,,,,,2553.17,
2017-10-14,,,,,,,,,,,,,,,252750.0,,,,,,,
2017-10-16,,,,,,,,,,,,,,,,,,,,,2557.64,
2017-10-17,,,,,,,,,,,,,,,,,,,,,2559.36,
2017-10-18,,,,,,,,,,,,,,,,,,,,,2561.26,
2017-10-19,,,,,,,,,,,,,,,,,,,,,2562.1,
2017-10-20,,,,,,,,,,,,,,,,,,,,,2575.21,
2017-10-21,,,,,,,,,,,,,,,247000.0,,,,,,,
2017-10-23,,,,,,,,,,,,,,,,,,,,,2564.98,
2017-10-24,,,,,,,,,,,,,,,,,,,,,2569.13,
2017-10-25,,,,,,,,,,,,,,,,,,,,,2557.15,
2017-10-26,,,,,,,,,,,,,,,,,,,,,2560.4,
2017-10-27,,,,,,,,,,,,,,,,,,,,,2581.07,
2017-10-28,,,,,,,,,,,,,,,242250.0,,,,,,,
2017-10-30,,,,,,,,,,,,,,,,,,,,,2572.83,
2017-10-31,,,,,,,,,,,,,,,,,,,,,2575.26,
2017-11-01,247.284,253.816,301.43,,159.0,1.16,2.35,14771.1,1182.0,26.54,,4.2,147372.0,62.7,,100.675,100.535,,98.5,1273.0,2579.36,22.22
2017-11-02,,,,,,,,,,,,,,,,,,,,,2579.85,
2017-11-03,,,,,,,,,,,,,,,,,,,,,2587.84,
2017-11-04,,,,,,,,,,,,,,,241250.0,,,,,,,
2017-11-06,,,,,,,,,,,,,,,,,,,,,2591.13,
2017-11-07,,,,,,,,,,,,,,,,,,,,,2590.64,
2017-11-08,,,,,,,,,,,,,,,,,,,,,2594.38,
2017-11-09,,,,,,,,,,,,,,,,,,,,,2584.62,
2017-11-10,,,,,,,,,,,,,,,,,,,,,2582.3,
2017-11-11,,,,,,,,,,,,,,,246000.0,,,,,,,
2017-11-13,,,,,,,,,,,,,,,,,,,,,2584.84,
2017-11-14,,,,,,,,,,,,,,,,,,,,,2578.87,
2017-11-15,,,,,,,,,,,,,,,,,,,,,2564.62,
2017-11-16,,,,,,,,,,,,,,,,,,,,,2585.64,
2017-11-17,,,,,,,,,,,,,,,,,,,,,2578.85,
2017-11-18,,,,,,,,,,,,,,,247250.0,,,,,,,
2017-11-20,,,,,,,,,,,,,,,,,,,,,2582.14,
2017-11-21,,,,,,,,,,,,,,,,,,,,,2599.03,
2017-11-22,,,,,,,,,,,,,,,,,,,,,2597.08,
2017-11-23,,,,,,,,,,,,,,,,,,,,,,
2017-11-24,,,,,,,,,,,,,,,,,,,,,2602.42,
2017-11-25,,,,,,,,,,,,,,,247750.0,,,,,,,
2017-11-27,,,,,,,,,,,,,,,,,,,,,2601.42,
2017-11-28,,,,,,,,,,,,,,,,,,,,,2627.04,
2017-11-29,,,,,,,,,,,,,,,,,,,,,2626.07,
2017-11-30,,,,,,,,,,,,,,,,,,,,,2647.58,
2017-12-01,247.805,254.344,302.428,,162.8,1.3,2.4,14797.9,1200.0,26.63,,4.1,147523.0,62.7,,100.821,100.683,,95.9,1177.0,2642.22,22.29
2017-12-02,,,,,,,,,,,,,,,246000.0,,,,,,,
2017-12-04,,,,,,,,,,,,,,,,,,,,,2639.44,
2017-12-05,,,,,,,,,,,,,,,,,,,,,2629.57,
2017-12-06,,,,,,,,,,,,,,,,,,,,,2629.27,
2017-12-07,,,,,,,,,,,,,,,,,,,,,2636.98,
2017-12-08,,,,,,,,,,,,,,,,,,,,,2651.5,
2017-12-09,,,,,,,,,,,,,,,239750.0,,,,,,,
2017-12-11,,,,,,,,,,,,,,,,,,,,,2659.99,
2017-12-12,,,,,,,,,,,,,,,,,,,,,2664.11,
2017-12-13,,,,,,,,,,,,,,,,,,,,,2662.85,
2017-12-14,,,,,,,,,,,,,,,,,,,,,2652.01,
2017-12-15,,,,,,,,,,,,,,,,,,,,,2675.81,
2017-12-16,,,,,,,,,,,,,,,239250.0,,,,,,,
2017-12-18,,,,,,,,,,,,,,,,,,,,,2690.16,
2017-12-19,,,,,,,,,,,,,,,,,,,,,2681.47,
2017-12-20,,,,,,,,,,,,,,,,,,,,,2679.25,
2017-12-21,,,,,,,,,,,,,,,,,,,,,2684.57,
2017-12-22,,,,,,,,,,,,,,,,,,,,,2683.34,
2017-12-23,,,,,,,,,,,,,,,241250.0,,,,,,,
2017-12-25,,,,,,,,,,,,,,,,,,,,,,
2017-12-26,,,,,,,,,,,,,,,,,,,,,2680.5,
2017-12-27,,,,,,,,,,,,,,,,,,,,,2682.62,
2017-12-28,,,,,,,,,,,,,,,,,,,,,2687.54,
2017-12-29,,,,,,,,,,,,,,,,,,,,,2673.61,
2017-12-30,,,,,,,,,,,,,,,243000.0,,,,,,,
2018-01-01,248.859,255.204,303.213,3610.589,179.1,1.41,2.58,14886.6,1208.0,26.72,2.5,4.0,147660.0,62.7,,101.199,101.007,20044.077,95.7,1299.0,,22.36
2018-01-02,,,,,,,,,,,,,,,,,,,,,2695.81,
2018-01-03,,,,,,,,,,,,,,,,,,,,,2713.06,
2018-01-04,,,,,,,,,,,,,,,,,,,,,2723.99,
2018-01-05,,,,,,,,,,,,,,,,,,,,,2743.15,
2018-01-06,,,,,,,,,,,,,,,248750.0,,,,,,,
2018-01-08,,,,,,,,,,,,,,,,,,,,,2747.71,
2018-01-09,,,,,,,,,,,,,,,,,,,,,2751.29,
2018-01-10,,,,,,,,,,,,,,,,,,,,,2748.23,
2018-01-11,,,,,,,,,,,,,,,,,,,,,2767.56,
2018-01-12,,,,,,,,,,,,,,,,,,,,,2786.24,
2018-01-13,,,,,,,,,,,,,,,245250.0,,,,,,,
2018-01-15,,,,,,,,,,,,,,,,,,,,,,
2018-01-16,,,,,,,,,,,,,,,,,,,,,2776.42,
2018-01-17,,,,,,,,,,,,,,,,,,,,,2802.56,
2018-01-18,,,,,,,,,,,,,,,,,,,,,2798.03,
2018-01-19,,,,,,,,,,,,,,,,,,,,,2810.3,
2018-01-20,,,,,,,,,,,,,,,240250.0,,,,,,,
2018-01-22,,,,,,,,,,,,,,,,,,,,,2832.97,
2018-01-23,,,,,,,,,,,,,,,,,,,,,2839.13,
2018-01-24,,,,,,,,,,,,,,,,,,,,,2837.54,
2018-01-25,,,,,,,,,,,,,,,,,,,,,2839.25,
2018-01-26,,,,,,,,,,,,,,,,,,,,,2872.87,
2018-01-27,,,,,,,,,,,,,,,235250.0,,,,,,,
2018-01-29,,,,,,,,,,,,,,,,,,,,,2853.53,
2018-01-30,,,,,,,,,,,,,,,,,,,,,2822.43,
2018-01-31,,,,,,,,,,,,,,,,,,,,,2823.81,
2018-02-01,249.529,255.711,303.784,,172.0,1.42,2.86,14921.1,1288.0,26.74,,4.1,148054.0,63.0,,101.416,101.198,,99.7,1277.0,2821.98,22.41
2018-02-02,,,,,,,,,,,,,,,,,,,,,2762.13,
2018-02-03,,,,,,,,,,,,,,,228250.0,,,,,,,
2018-02-05,,,,,,,,,,,,,,,,,,,,,2648.94,
2018-02-06,,,,,,,,,,,,,,,,,,,,,2695.14,
2018-02-07,,,,,,,,,,,,,,,,,,,,,2681.66,
2018-02-08,,,,,,,,,,,,,,,,,,,,,2581.0,
2018-02-09,,,,,,,,,,,,,,,,,,,,,2619.55,
2018-02-10,,,,,,,,,,,,,,,227000.0,,,,,,,
2018-02-12,,,,,,,,,,,,,,,,,,,,,2656.0,
2018-02-13,,,,,,,,,,,,,,,,,,,,,2662.94,
2018-02-14,,,,,,,,,,,,,,,,,,,,,2698.63,
2018-02-15,,,,,,,,,,,,,,,,,,,,,2731.2,
2018-02-16,,,,,,,,,,,,,,,,,,,,,2732.22,
2018-02-17,,,,,,,,,,,,,,,224000.0,,,,,,,
2018-02-19,,,,,,,,,,,,,,,,,,,,,,
2018-02-20,,,,,,,,,,,,,,,,,,,,,2716.26,
2018-02-21,,,,,,,,,,,,,,,,,,,,,2701.33,
2018-02-22,,,,,,,,,,,,,,,,,,,,,2703.96,
2018-02-23,,,,,,,,,,,,,,,,,,,,,2747.3,
2018-02-24,,,,,,,,,,,,,,,221000.0,,,,,,,
2018-02-26,,,,,,,,,,,,,,,,,,,,,2779.6,
2018-02-27,,,,,,,,,,,,,,,,,,,,,2744.28,
2018-02-28,,,,,,,,,,,,,,,,,,,,,2713.83,
2018-03-01,249.577,256.271,304.812,,173.9,1.51,2.84,14974.8,1181.0,26.85,,4.0,148280.0,62.9,,101.524,101.419,,101.4,1318.0,2677.67,22.49
2018-03-02,,,,,,,,,,,,,,,,,,,,,2691.25,
2018-03-03,,,,,,,,,,,,,,,222000.0,,,,,,,
2018-03-05,,,,,,,,,,,,,,,,,,,,,2720.94,
2018-03-06,,,,,,,,,,,,,,,,,,,,,2728.12,
2018-03-07,,,,,,,,,,,,,,,,,,,,,2726.8,
2018-03-08,,,,,,,,,,,,,,,,,,,,,2738.97,
2018-03-09,,,,,,,,,,,,,,,,,,,,,2786.57,
2018-03-10,,,,,,,,,,,,,,,221500.0,,,,,,,
2018-03-12,,,,,,,,,,,,,,,,,,,,,2783.02,
2018-03-13,,,,,,,,,,,,,,,,,,,,,2765.31,
2018-03-14,,,,,,,,,,,,,,,,,,,,,2749.48,
2018-03-15,,,,,,,,,,,,,,,,,,,,,2747.33,
2018-03-16,,,,,,,,,,,,,,,,,,,,,2752.01,
2018-03-17,,,,,,,,,,,,,,,223000.0,,,,,,,
2018-03-19,,,,,,,,,,,,,,,,,,,,,2712.92,
2018-03-20,,,,,,,,,,,,,,,,,,,,,2716.94,
2018-03-21,,,,,,,,,,,,,,,,,,,,,2711.93,
2018-03-22,,,,,,,,,,,,,,,,,,,,,2643.69,
2018-03-23,,,,,,,,,,,,,,,,,,,,,2588.26,
2018-03-24,,,,,,,,,,,,,,,224250.0,,,,,,,
2018-03-26,,,,,,,,,,,,,,,,,,,,,2658.55,
2018-03-27,,,,,,,,,,,,,,,,,,,,,2612.62,
2018-03-28,,,,,,,,,,,,,,,,,,,,,2605.0,
2018-03-29,,,,,,,,,,,,,,,,,,,,,2640.87,
2018-03-30,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,,,,,,,,,,,,,,,225250.0,,,,,,,
2018-04-01,250.227,256.63,305.72,3666.129,185.3,1.69,2.87,15007.2,1224.0,26.91,2.5,4.0,148420.0,62.9,,101.766,101.602,20150.476,98.8,1276.0,,22.55
2018-04-02,,,,,,,,,,,,,,,,,,,,,2581.88,
2018-04-03,,,,,,,,,,,,,,,,,,,,,2614.45,
2018-04-04,,,,,,,,,,,,,,,,,,,,,2644.69,
2018-04-05,,,,,,,,,,,,,,,,,,,,,2662.84,
2018-04-06,,,,,,,,,,,,,,,,,,,,,2604.47,
2018-04-07,,,,,,,,,,,,,,,228000.0,,,,,,,
2018-04-09,,,,,,,,,,,,,,,,,,,,,2613.16,
2018-04-10,,,,,,,,,,,,,,,,,,,,,2656.87,
2018-04-11,,,,,,,,,,,,,,,,,,,,,2642.19,
2018-04-12,,,,,,,,,,,,,,,,,,,,,2663.99,
2018-04-13,,,,,,,,,,,,,,,,,,,,,2656.3,
2018-04-14,,,,,,,,,,,,,,,230750.0,,,,,,,
2018-04-16,,,,,,,,,,,,,,,,,,,,,2677.84,
2018-04-17,,,,,,,,,,,,,,,,,,,,,2706.39,
2018-04-18,,,,,,,,,,,,,,,,,,,,,2708.64,
2018-04-19,,,,,,,,,,,,,,,,,,,,,2693.13,
2018-04-20,,,,,,,,,,,,,,,,,,,,,2670.14,
2018-04-21,,,,,,,,,,,,,,,227250.0,,,,,,,
2018-04-23,,,,,,,,,,,,,,,,,,,,,2670.29,
2018-04-24,,,,,,,,,,,,,,,,,,,,,2634.56,
2018-04-25,,,,,,,,,,,,,,,,,,,,,2639.4,
2018-04-26,,,,,,,,,,,,,,,,,,,,,2666.94,
2018-04-27,,,,,,,,,,,,,,,,,,,,,2669.91,
2018-04-28,,,,,,,,,,,,,,,221500.0,,,,,,,
2018-04-30,,,,,,,,,,,,,,,,,,,,,2648.05,
2018-05-01,250.792,257.145,306.808,,198.1,1.7,2.98,15057.8,1262.0,26.98,,3.8,148742.0,62.9,,101.941,101.78,,98.0,1357.0,2654.8,22.6
2018-05-02,,,,,,,,,,,,,,,,,,,,,2635.67,
2018-05-03,,,,,,,,,,,,,,,,,,,,,2629.73,
2018-05-04,,,,,,,,,,,,,,,,,,,,,2663.42,
2018-05-05,,,,,,,,,,,,,,,215750.0,,,,,,,
2018-05-07,,,,,,,,,,,,,,,,,,,,,2672.63,
2018-05-08,,,,,,,,,,,,,,,,,,,,,2671.92,
2018-05-09,,,,,,,,,,,,,,,,,,,,,2697.79,
2018-05-10,,,,,,,,,,,,,,,,,,,,,2723.07,
2018-05-11,,,,,,,,,,,,,,,,,,,,,2727.72,
2018-05-12,,,,,,,,,,,,,,,212250.0,,,,,,,
2018-05-14,,,,,,,,,,,,,,,,,,,,,2730.13,
2018-05-15,,,,,,,,,,,,,,,,,,,,,2711.45,
2018-05-16,,,,,,,,,,,,,,,,,,,,,2722.46,
2018-05-17,,,,,,,,,,,,,,,,,,,,,2720.13,
2018-05-18,,,,,,,,,,,,,,,,,,,,,2712.97,
2018-05-19,,,,,,,,,,,,,,,218000.0,,,,,,,
2018-05-21,,,,,,,,,,,,,,,,,,,,,2733.01,
2018-05-22,,,,,,,,,,,,,,,,,,,,,2724.44,
2018-05-23,,,,,,,,,,,,,,,,,,,,,2733.29,
2018-05-24,,,,,,,,,,,,,,,,,,,,,2727.76,
2018-05-25,,,,,,,,,,,,,,,,,,,,,2721.33,
2018-05-26,,,,,,,,,,,,,,,221250.0,,,,,,,
2018-05-28,,,,,,,,,,,,,,,,,,,,,,
2018-05-29,,,,,,,,,,,,,,,,,,,,,2689.86,
2018-05-30,,,,,,,,,,,,,,,,,,,,,2724.01,
2018-05-31,,,,,,,,,,,,,,,,,,,,,2705.27,
2018-06-01,251.018,257.399,307.183,,188.5,1.82,2.91,15119.3,1212.0,27.03,,4.0,148960.0,63.0,,102.029,101.872,,98.2,1192.0,2734.62,22.66
2018-06-02,,,,,,,,,,,,,,,224250.0,,,,,,,
2018-06-04,,,,,,,,,,,,,,,,,,,,,2746.87,
2018-06-05,,,,,,,,,,,,,,,,,,,,,2748.8,
2018-06-06,,,,,,,,,,,,,,,,,,,,,2772.35,
2018-06-07,,,,,,,,,,,,,,,,,,,,,2770.37,
2018-06-08,,,,,,,,,,,,,,,,,,,,,2779.03,
2018-06-09,,,,,,,,,,,,,,,224250.0,,,,,,,
2018-06-11,,,,,,,,,,,,,,,,,,,,,2782.0,
2018-06-12,,,,,,,,,,,,,,,,,,,,,2786.85,
2018-06-13,,,,,,,,,,,,,,,,,,,,,2775.63,
2018-06-14,,,,,,,,,,,,,,,,,,,,,2782.49,
2018-06-15,,,,,,,,,,,,,,,,,,,,,2779.66,
2018-06-16,,,,,,,,,,,,,,,221250.0,,,,,,,
2018-06-18,,,,,,,,,,,,,,,,,,,,,2773.75,
2018-06-19,,,,,,,,,,,,,,,,,,,,,2762.59,
2018-06-20,,,,,,,,,,,,,,,,,,,,,2767.32,
2018-06-21,,,,,,,,,,,,,,,,,,,,,2749.76,
2018-06-22,,,,,,,,,,,,,,,,,,,,,2754.88,
2018-06-23,,,,,,,,,,,,,,,221250.0,,,,,,,
2018-06-25,,,,,,,,,,,,,,,,,,,,,2717.07,
2018-06-26,,,,,,,,,,,,,,,,,,,,,2723.06,
2018-06-27,,,,,,,,,,,,,,,,,,,,,2699.63,
2018-06-28,,,,,,,,,,,,,,,,,,,,,2716.31,
2018-06-29,,,,,,,,,,,,,,,,,,,,,2718.37,
2018-06-30,,,,,,,,,,,,,,,222500.0,,,,,,,
2018-07-01,251.214,257.699,308.05,3690.028,204.0,1.91,2.89,15184.7,1150.0,27.1,2.52,3.8,149020.0,63.0,,102.137,102.006,20276.154,97.9,1208.0,,22.7
2018-07-02,,,,,,,,,,,,,,,,,,,,,2726.71,
2018-07-03,,,,,,,,,,,,,,,,,,,,,2713.22,
2018-07-04,,,,,,,,,,,,,,,,,,,,,,
2018-07-05,,,,,,,,,,,,,,,,,,,,,2736.61,
2018-07-06,,,,,,,,,,,,,,,,,,,,,2759.82,
2018-07-07,,,,,,,,,,,,,,,221000.0,,,,,,,
2018-07-09,,,,,,,,,,,,,,,,,,,,,2784.17,
2018-07-10,,,,,,,,,,,,,,,,,,,,,2793.84,
2018-07-11,,,,,,,,,,,,,,,,,,,,,2774.02,
2018-07-12,,,,,,,,,,,,,,,,,,,,,2798.29,
2018-07-13,,,,,,,,,,,,,,,,,,,,,2801.31,
2018-07-14,,,,,,,,,,,,,,,217750.0,,,,,,,
2018-07-16,,,,,,,,,,,,,,,,,,,,,2798.43,
2018-07-17,,,,,,,,,,,,,,,,,,,,,2809.55,
2018-07-18,,,,,,,,,,,,,,,,,,,,,2815.62,
2018-07-19,,,,,,,,,,,,,,,,,,,,,2804.49,
2018-07-20,,,,,,,,,,,,,,,,,,,,,2801.83,
2018-07-21,,,,,,,,,,,,,,,214750.0,,,,,,,
2018-07-23,,,,,,,,,,,,,,,,,,,,,2806.98,
2018-07-24,,,,,,,,,,,,,,,,,,,,,2820.4,
2018-07-25,,,,,,,,,,,,,,,,,,,,,2846.07,
2018-07-26,,,,,,,,,,,,,,,,,,,,,2837.44,
2018-07-27,,,,,,,,,,,,,,,,,,,,,2818.82,
2018-07-28,,,,,,,,,,,,,,,209500.0,,,,,,,
2018-07-30,,,,,,,,,,,,,,,,,,,,,2802.6,
2018-07-31,,,,,,,,,,,,,,,,,,,,,2816.29,
2018-08-01,251.663,257.891,309.004,,189.3,1.91,2.89,15238.6,1262.0,27.21,,3.8,149277.0,62.6,,102.208,102.016,,96.2,1288.0,2813.36,22.78
2018-08-02,,,,,,,,,,,,,,,,,,,,,2827.22,
2018-08-03,,,,,,,,,,,,,,,,,,,,,2840.35,
2018-08-04,,,,,,,,,,,,,,,208000.0,,,,,,,
2018-08-06,,,,,,,,,,,,,,,,,,,,,2850.4,
2018-08-07,,,,,,,,,,,,,,,,,,,,,2858.45,
2018-08-08,,,,,,,,,,,,,,,,,,,,,2857.7,
2018-08-09,,,,,,,,,,,,,,,,,,,,,2853.58,
2018-08-10,,,,,,,,,,,,,,,,,,,,,2833.28,
2018-08-11,,,,,,,,,,,,,,,208250.0,,,,,,,
2018-08-13,,,,,,,,,,,,,,,,,,,,,2821.93,
2018-08-14,,,,,,,,,,,,,,,,,,,,,2839.96,
2018-08-15,,,,,,,,,,,,,,,,,,,,,2818.37,
2018-08-16,,,,,,,,,,,,,,,,,,,,,2840.69,
2018-08-17,,,,,,,,,,,,,,,,,,,,,2850.13,
2018-08-18,,,,,,,,,,,,,,,207500.0,,,,,,,
2018-08-20,,,,,,,,,,,,,,,,,,,,,2857.05,
2018-08-21,,,,,,,,,,,,,,,,,,,,,2862.96,
2018-08-22,,,,,,,,,,,,,,,,,,,,,2861.82,
2018-08-23,,,,,,,,,,,,,,,,,,,,,2856.98,
2018-08-24,,,,,,,,,,,,,,,,,,,,,2874.69,
2018-08-25,,,,,,,,,,,,,,,208500.0,,,,,,,
2018-08-27,,,,,,,,,,,,,,,,,,,,,2896.74,
2018-08-28,,,,,,,,,,,,,,,,,,,,,2897.52,
2018-08-29,,,,,,,,,,,,,,,,,,,,,2914.04,
2018-08-30,,,,,,,,,,,,,,,,,,,,,2901.13,
2018-08-31,,,,,,,,,,,,,,,,,,,,,2901.52,
2018-09-01,252.182,258.368,309.522,,195.2,1.95,3.0,15237.5,1187.0,27.32,,3.7,149358.0,62.8,206250.0,102.418,102.205,,100.1,1250.0,,22.86
2018-09-03,,,,,,,,,,,,,,,,,,,,,,
2018-09-04,,,,,,,,,,,,,,,,,,,,,2896.72,
2018-09-05,,,,,,,,,,,,,,,,,,,,,2888.6,
2018-09-06,,,,,,,,,,,,,,,,,,,,,2878.05,
2018-09-07,,,,,,,,,,,,,,,,,,,,,2871.68,
2018-09-08,,,,,,,,,,,,,,,205750.0,,,,,,,
2018-09-10,,,,,,,,,,,,,,,,,,,,,2877.13,
2018-09-11,,,,,,,,,,,,,,,,,,,,,2887.89,
2018-09-12,,,,,,,,,,,,,,,,,,,,,2888.92,
2018-09-13,,,,,,,,,,,,,,,,,,,,,2904.18,
2018-09-14,,,,,,,,,,,,,,,,,,,,,2904.98,
2018-09-15,,,,,,,,,,,,,,,205500.0,,,,,,,
2018-09-17,,,,,,,,,,,,,,,,,,,,,2888.8,
2018-09-18,,,,,,,,,,,,,,,,,,,,,2904.31,
2018-09-19,,,,,,,,,,,,,,,,,,,,,2907.95,
2018-09-20,,,,,,,,,,,,,,,,,,,,,2930.75,
2018-09-21,,,,,,,,,,,,,,,,,,,,,2929.67,
2018-09-22,,,,,,,,,,,,,,,204000.0,,,,,,,
2018-09-24,,,,,,,,,,,,,,,,,,,,,2919.37,
2018-09-25,,,,,,,,,,,,,,,,,,,,,2915.56,
2018-09-26,,,,,,,,,,,,,,,,,,,,,2905.97,
2018-09-27,,,,,,,,,,,,,,,,,,,,,2914.0,
2018-09-28,,,,,,,,,,,,,,,,,,,,,2913.98,
2018-09-29,,,,,,,,,,,,,,,206250.0,,,,,,,
2018-10-01,252.772,258.917,310.401,3706.704,204.1,2.19,3.15,15274.1,1122.0,27.37,2.54,3.8,149527.0,62.9,,102.595,102.366,20304.874,98.6,1221.0,2924.59,22.89
2018-10-02,,,,,,,,,,,,,,,,,,,,,2923.43,
2018-10-03,,,,,,,,,,,,,,,,,,,,,2925.51,
2018-10-04,,,,,,,,,,,,,,,,,,,,,2901.61,
2018-10-05,,,,,,,,,,,,,,,,,,,,,2885.57,
2018-10-06,,,,,,,,,,,,,,,208000.0,,,,,,,
2018-10-08,,,,,,,,,,,,,,,,,,,,,2884.43,
2018-10-09,,,,,,,,,,,,,,,,,,,,,2880.34,
2018-10-10,,,,,,,,,,,,,,,,,,,,,2785.68,
2018-10-11,,,,,,,,,,,,,,,,,,,,,2728.37,
2018-10-12,,,,,,,,,,,,,,,,,,,,,2767.13,
2018-10-13,,,,,,,,,,,,,,,208500.0,,,,,,,
2018-10-15,,,,,,,,,,,,,,,,,,,,,2750.79,
2018-10-16,,,,,,,,,,,,,,,,,,,,,2809.92,
2018-10-17,,,,,,,,,,,,,,,,,,,,,2809.21,
2018-10-18,,,,,,,,,,,,,,,,,,,,,2768.78,
2018-10-19,,,,,,,,,,,,,,,,,,,,,2767.78,
2018-10-20,,,,,,,,,,,,,,,211500.0,,,,,,,
2018-10-22,,,,,,,,,,,,,,,,,,,,,2755.88,
2018-10-23,,,,,,,,,,,,,,,,,,,,,2740.69,
2018-10-24,,,,,,,,,,,,,,,,,,,,,2656.1,
2018-10-25,,,,,,,,,,,,,,,,,,,,,2705.57,
2018-10-26,,,,,,,,,,,,,,,,,,,,,2658.69,
2018-10-27,,,,,,,,,,,,,,,213000.0,,,,,,,
2018-10-29,,,,,,,,,,,,,,,,,,,,,2641.25,
2018-10-30,,,,,,,,,,,,,,,,,,,,,2682.63,
2018-10-31,,,,,,,,,,,,,,,,,,,,,2711.74,
2018-11-01,252.594,259.439,311.247,,157.4,2.2,3.12,15315.2,1131.0,27.44,,3.8,149617.0,62.9,,102.63,102.556,,97.5,1181.0,2740.37,23.0
2018-11-02,,,,,,,,,,,,,,,,,,,,,2723.06,
2018-11-03,,,,,,,,,,,,,,,214750.0,,,,,,,
2018-11-05,,,,,,,,,,,,,,,,,,,,,2738.31,
2018-11-06,,,,,,,,,,,,,,,,,,,,,2755.45,
2018-11-07,,,,,,,,,,,,,,,,,,,,,2813.89,
2018-11-08,,,,,,,,,,,,,,,,,,,,,2806.83,
2018-11-09,,,,,,,,,,,,,,,,,,,,,2781.01,
2018-11-10,,,,,,,,,,,,,,,218000.0,,,,,,,
2018-11-12,,,,,,,,,,,,,,,,,,,,,2726.22,
